Pos.,Giocatore,Nazione,Ruolo,Squadra,Competizione,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
608,Justin Devenny,NIR,Cen,Crystal Palace,Premier League,21-107,2003,10,2,267,3.0,1,0,1,1,0,0,0,0,0.5,0.5,0.3,0.8,3,8,5,2,2,0,1
609,Kiernan Dewsbury-Hall,ENG,Cen,Chelsea,Premier League,26-142,1998,6,1,135,1.5,0,1,1,0,0,0,0,0,0.2,0.2,1.0,1.2,3,10,1,0,2,2,0
610,Michele Di Gregorio,ITA,Por,Juventus,Serie A,27-183,1997,17,17,1.530,17.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,3,0
611,Giovanni Di Lorenzo,ITA,Dif,Napoli,Serie A,31-175,1993,22,22,1.980,22.0,3,1,4,3,0,0,3,0,2.3,2.3,3.0,5.3,31,145,12,4,32,28,4
612,Boulaye Dia,SEN,Cen.Att,Lazio,Serie A,28-071,1996,18,13,1.101,12.2,6,3,9,6,0,0,2,0,3.3,3.3,2.6,5.9,10,27,17,11,14,15,1
613,Mamadou Diakhon,FRA,Att.Cen,Reims,Ligue 1,19-126,2005,15,1,269,3.0,1,0,1,1,0,0,2,0,0.2,0.2,0.1,0.3,22,9,6,3,2,10,0
614,Bafodé Diakité,FRA,Dif,Lille,Ligue 1,24-020,2001,19,19,1.710,19.0,3,1,4,3,0,0,3,0,1.7,1.7,0.1,1.8,9,55,10,5,27,11,1
615,Oumar Diakité,CIV,Att,Reims,Ligue 1,21-037,2003,18,17,1.304,14.5,4,1,5,4,0,0,5,0,4.4,4.4,1.0,5.4,19,38,22,6,26,18,10
616,Amad Diallo,CIV,Att.Cen,Manchester Utd,Premier League,22-199,2002,20,15,1.414,15.7,6,6,12,6,0,0,3,0,4.0,4.0,3.5,7.5,83,50,39,13,15,20,8
617,Assane Diao,ESP,Att.Cen,Como,Serie A,19-141,2005,4,3,340,3.8,2,0,2,2,0,0,1,0,0.7,0.7,0.0,0.8,11,9,6,3,2,13,1
618,Assane Diao,ESP,Att,Betis,La Liga,19-141,2005,10,2,277,3.1,1,2,3,1,0,0,0,0,0.8,0.8,1.5,2.3,9,1,6,3,2,13,1
619,Habib Diarra,SEN,Cen.Att,Strasbourg,Ligue 1,21-023,2004,18,18,1.550,17.2,4,3,7,2,2,2,4,0,2.6,1.0,3.2,4.2,40,74,17,10,17,33,1
620,Moussa Diarra,MLI,Dif,Alavés,La Liga,24-077,2000,15,12,1.119,12.4,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,8,46,1,0,16,14,1
621,Rúben Dias,POR,Dif,Manchester City,Premier League,27-257,1997,14,13,1.177,13.1,0,0,0,0,0,0,3,0,1.1,1.1,0.3,1.3,19,78,13,3,6,4,0
622,Krépin Diatta,SEN,Dif,Monaco,Ligue 1,25-336,1999,7,1,213,2.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,11,2,1,7,4,0
623,Kandet Diawara,GUI,Att,Le Havre,Ligue 1,24-351,2000,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
624,Mahamadou Diawara,FRA,Cen,Lyon,Ligue 1,19-344,2005,2,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,1,0,0
625,Brahim Díaz,MAR,Att.Cen,Real Madrid,La Liga,25-176,1999,16,8,774,8.6,3,2,5,3,0,0,0,0,2.9,2.9,2.3,5.2,17,44,14,7,8,17,0
626,Luis Díaz,COL,Att,Liverpool,Premier League,28-013,1997,21,16,1.339,14.9,8,2,10,8,0,0,2,0,6.1,6.1,2.1,8.2,59,62,44,19,31,18,6
627,Pedro Díaz,ESP,Cen.Att,Rayo Vallecano,La Liga,26-235,1998,9,2,199,2.2,0,0,0,0,0,0,1,0,0.3,0.3,0.3,0.6,3,10,4,0,2,0,0
628,Tyler Dibling,ENG,Att.Cen,Southampton,Premier League,18-320,2006,20,14,1.230,13.7,2,0,2,2,0,0,6,0,2.1,2.1,1.3,3.4,51,41,23,9,21,36,0
629,Diego,ESP,Att.Cen,Leganés,La Liga,24-283,2000,13,4,423,4.7,1,0,1,1,0,0,0,0,1.3,1.3,0.2,1.6,6,9,12,4,8,13,4
630,Justin Diehl,GER,Att.Dif,Stuttgart,Bundesliga,20-060,2004,5,0,83,0.9,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,5,5,7,1,2,0,0
631,Bamba Dieng,SEN,Att,Angers,Ligue 1,24-309,2000,12,4,398,4.4,2,0,2,2,0,0,1,0,2.3,2.3,0.0,2.3,4,3,12,5,5,9,2
632,Eric Dier,ENG,Dif,Bayern Munich,Bundesliga,31-011,1994,9,4,388,4.3,0,1,1,0,0,0,0,0,0.2,0.2,0.0,0.3,3,22,3,1,3,1,0
633,Lucas Digne,FRA,Dif,Aston Villa,Premier League,31-190,1993,22,19,1.637,18.2,0,3,3,0,0,0,3,0,0.7,0.7,3.5,4.1,16,36,10,3,17,9,5
634,Kembo Diliwidi,FRA,Dif,Lens,Ligue 1,18-358,2006,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0,1,0,0
635,Federico Dimarco,ITA,Dif.Att,Inter,Serie A,27-077,1997,19,18,1.409,15.7,3,4,7,3,0,0,2,0,2.1,2.1,4.3,6.4,24,51,37,12,12,9,7
636,Stole Dimitrievski,MKD,Por,Valencia,La Liga,31-032,1993,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
637,Junior Dina Ebimbe,FRA,Cen.Att,Eint Frankfurt,Bundesliga,24-066,2000,6,3,281,3.1,0,1,1,0,0,0,0,0,0.9,0.9,0.9,1.8,5,3,8,0,10,4,1
638,Eren Dinkçi,GER,Cen,Freiburg,Bundesliga,23-044,2001,15,10,894,9.9,0,2,2,0,0,0,0,0,0.7,0.7,1.5,2.3,26,22,11,2,7,4,1
639,Sinaly Diomande,CIV,Dif,Auxerre,Ligue 1,23-292,2001,13,12,1.060,11.8,2,2,4,2,0,0,3,0,1.0,1.0,0.5,1.5,1,37,6,2,10,10,0
640,Lois Diony,FRA,Att,Angers,Ligue 1,32-037,1992,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
641,Issa Diop,FRA,Dif,Fulham,Premier League,28-017,1997,16,12,1.069,11.9,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,4,23,5,2,7,3,0
642,Sofiane Diop,FRA,Cen.Att,Nice,Ligue 1,24-231,2000,15,7,724,8.0,5,3,8,5,0,0,3,0,5.1,5.1,1.2,6.3,12,34,18,10,11,12,2
643,Andy Diouf,FRA,Cen,Lens,Ligue 1,21-254,2003,18,15,1.270,14.1,1,1,2,1,0,0,2,0,1.2,1.2,1.0,2.1,46,76,21,2,25,10,0
644,Yehvann Diouf,FRA,Por,Reims,Ligue 1,25-071,1999,19,19,1.710,19.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0,0,2,0
645,Assane Dioussé,SEN,Cen,Auxerre,Ligue 1,27-128,1997,7,2,190,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,0,11,2,1,7,5,0
646,Axel Disasi,FRA,Dif,Chelsea,Premier League,26-321,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.1,0.4,6,16,2,1,2,0,0
647,Roman Dixon,ENG,Dif,Everton,Premier League,20-031,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
648,Álvaro djaló,ESP,Att,Athletic Club,La Liga,25-163,1999,12,4,445,4.9,1,0,1,1,0,0,0,0,0.8,0.8,0.7,1.5,15,7,14,3,12,7,4
649,Djené,TOG,Dif.Cen,Getafe,La Liga,33-026,1991,18,18,1.442,16.0,0,0,0,0,0,0,7,0,0.3,0.3,0.5,0.8,11,41,4,0,20,14,0
650,Berat Djimsiti,ALB,Dif,Atalanta,Serie A,31-342,1993,20,18,1.504,16.7,0,0,0,0,0,0,4,0,2.0,2.0,0.6,2.6,13,65,11,2,12,11,0
651,Marko Dmitrović,SRB,Por,Leganés,La Liga,33-002,1992,14,14,1.260,14.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,5,0
652,Ritsu Doan,JPN,Att.Cen,Freiburg,Bundesliga,26-224,1998,19,19,1.596,17.7,6,3,9,6,0,0,1,0,3.9,3.9,0.9,4.8,32,59,32,14,14,27,5
653,Dodô,BRA,Dif,Fiorentina,Serie A,26-070,1998,19,19,1.700,18.9,0,0,0,0,0,0,5,0,0.4,0.4,2.2,2.6,85,89,15,3,12,32,1
654,Danilho Doekhi,NED,Dif,Union Berlin,Bundesliga,26-210,1998,18,18,1.620,18.0,1,0,1,1,0,0,4,0,1.5,1.5,1.0,2.4,9,51,16,2,21,10,1
655,Matt Doherty,IRL,Dif,Wolves,Premier League,33-010,1992,16,12,1.070,11.9,2,1,3,2,0,0,3,0,0.9,0.9,1.4,2.3,16,47,8,3,10,5,2
656,Jeremy Doku,BEL,Att.Cen,Manchester City,Premier League,22-244,2002,15,9,789,8.8,3,4,7,3,0,0,0,0,0.8,0.8,2.3,3.0,104,36,17,6,3,18,4
657,Marc Domenech,ESP,Att,Mallorca,La Liga,19-025,2006,3,2,115,1.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.2,0,2,3,1,3,0,0
658,Álex Domínguez,ESP,Por,Toulouse,Ligue 1,26-180,1998,1,0,19,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
659,Benjamín Domínguez,ARG,Att,Bologna,Serie A,21-129,2003,9,8,594,6.6,3,1,4,3,0,0,0,0,1.5,1.5,0.3,1.8,25,18,17,11,5,17,2
660,Carlos Dominguez,ESP,Dif,Celta Vigo,La Liga,23-350,2001,9,6,525,5.8,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,3,28,3,1,3,4,0
661,Israel Domínguez,ESP,Att,Sevilla,La Liga,21-264,2003,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1
662,Nicolás Domínguez,ARG,Cen.Att,Nott'ham Forest,Premier League,26-212,1998,20,12,1.098,12.2,0,0,0,0,0,0,6,0,1.2,1.2,0.6,1.8,8,45,13,4,18,11,1
663,Sergi Dominguez,ESP,Dif,Barcelona,La Liga,19-300,2005,3,2,172,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,13,0,0,2,0,0
