Pos.,Giocatore,Nazione,Ruolo,Squadra,Età,Nato,PG,Tit,Min,90 min,Reti,Assist,G+A,R - Rig,Rigori,Rig T,Amm.,Esp.,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Tiri totali,Tiri in porta,Falli commessi,Falli subiti,Fuorigioco
169,Rodrigo De Paul,ARG,Cen,Atlético Madrid,30-250,1994,7,7,514,5.7,0,0,0,0,0,0,1,0,0.1,0.1,0.7,0.8,17,47,3,1,5,11,0
170,Zeno Debast,BEL,Dif.Cen,Sporting CP,21-097,2003,5,5,393,4.4,1,1,2,1,0,0,1,0,0.1,0.1,0.4,0.5,0,11,2,1,4,2,0
171,Amar Dedić,BIH,Dif,RB Salzburg,22-164,2002,6,6,540,6.0,0,1,1,0,0,0,1,0,0.5,0.5,0.8,1.4,33,31,13,4,4,5,1
172,Romain Del Castillo,FRA,Att,Brest,28-306,1996,6,3,297,3.3,0,0,0,0,0,0,1,0,0.1,0.1,0.6,0.7,14,17,3,2,2,7,0
173,Ousmane Dembélé,FRA,Att,Paris S-G,27-259,1997,5,4,358,4.0,1,1,2,1,0,0,2,1,2.7,2.7,1.3,4.0,36,28,25,7,6,8,2
174,Ermedin Demirović,BIH,Att,Stuttgart,26-310,1998,7,4,375,4.2,1,0,1,1,0,0,2,0,2.2,2.2,0.4,2.6,7,4,18,5,11,5,1
175,Michele Di Gregorio,ITA,Por,Juventus,27-186,1997,6,6,508,5.6,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,1,1,0
176,Ángel Di María,ARG,Att,Benfica,36-350,1988,7,5,455,5.1,1,2,3,0,1,1,0,0,2.3,1.5,2.6,4.1,22,29,15,6,1,9,5
177,Bafodé Diakité,FRA,Dif,Lille,24-023,2001,7,6,585,6.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,11,0,0,3,6,0
178,Mamady Diambou,MLI,Cen.Dif,RB Salzburg,22-079,2002,6,3,307,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,11,0,0,7,4,0
179,Rúben Dias,POR,Dif,Manchester City,27-260,1997,5,3,273,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,11,0,0,5,0,0
180,Krépin Diatta,SEN,Dif,Monaco,25-339,1999,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,0,0,0,1,0
